#PROTEIN	GENE ID
NEF	55163
NEF	6206
NEF	498
NEF	6202
NEF	6124
NEF	6210
NEF	10576
NEF	10128
NEF	51479
NEF	6155
NEF	6125
NEF	3848
NEF	10383
NEF	10574
NEF	7112
NEF	29952
NEF	3921
NEF	5208
NEF	5110
NEF	81608
NEF	5636
NEF	4637
NEF	10927
NEF	10625
NEF	3007
NEF	6633
NEF	6632
NEF	84310
NEF	80321
NEF	2521
NEF	203068
NEF	10694
NEF	6709
NEF	3936
NEF	72
NEF	203068
NEF	23012
NEF	6192
NEF	10376
NEF	54583
NEF	3185
NEF	6161
NEF	6135
NEF	26986
NEF	5209
NEF	3187
NEF	790
NEF	6636
NEF	4736
NEF	6188
NEF	4691
NEF	2079
NEF	5250
NEF	23450
NEF	1207
NEF	6230
NEF	5635
NEF	54726
NEF	3849
NEF	6176
NEF	6175
NEF	6223
NEF	292
NEF	4904
NEF	2316
NEF	57532
NEF	5495
NEF	10971
NEF	6122
NEF	85236
NEF	23165
NEF	6128
NEF	6189
NEF	10419
NEF	8335;3012
NEF	60412
NEF	55681
NEF	6134
NEF	11329
NEF	2539
NEF	3312
NEF	3190
NEF	3329
NEF	4144
NEF	9967
NEF	5034
NEF	4841
NEF	11100
NEF	6222
NEF	5052
NEF	3858
NEF	3326
NEF	3306
NEF	79084
NEF	4869
NEF	3192
NEF	3716
NEF	6207
NEF	54039
NEF	4836
NEF	5928
NEF	9774
NEF	6727
NEF	8241
NEF	6737
NEF	3301
NEF	6168
NEF	10992
NEF	3832
NEF	6210
NEF	60
NEF	1025
NEF	54442
NEF	6157
NEF	3848
NEF	10574
NEF	51806
NEF	6144
NEF	84991
NEF	6187
NEF	10927
NEF	10625
NEF	6632
NEF	1975
NEF	80321
NEF	203068
NEF	3309
NEF	3303;3304
NEF	3868
NEF	6139
NEF	5096
NEF	10376
NEF	5095
NEF	25873
NEF	10005
NEF	3008
NEF	4627
NEF	6130
NEF	6132
NEF	3857
NEF	790
NEF	3850
NEF	4736
NEF	3313
NEF	58526
NEF	4691
NEF	23450
NEF	10627
NEF	3849
NEF	213
NEF	3854
NEF	6181
NEF	4628
NEF	4629
NEF	8773
NEF	6142
NEF	4904
NEF	6742
NEF	6339
NEF	11273
NEF	6138
NEF	3178
NEF	85236
NEF	6128
NEF	7534
NEF	3921
NEF	3852
NEF	1915
NEF	2539
NEF	6141
NEF	3312
NEF	56922
NEF	6418
NEF	3329
NEF	58
NEF	7170
NEF	162605
NEF	3851
NEF	3866
NEF	14
NEF	70
NEF	5052
NEF	3858
NEF	3326
NEF	83657
NEF	5091
NEF	3872
NEF	5110
NEF	1642
NEF	31
NEF	8065
NEF	3856
NEF	26032
NEF	64087
NEF	54039
NEF	4836
NEF	9045
NEF	5715
NEF	55660
NEF	59
NEF	23753
NEF	3735
NEF	10382
NEF	4637
NEF	286887
NEF	6137
NEF	3853
NEF	6202
NEF	6124
NEF	60
NEF	3861
NEF	3880
NEF	112939
NEF	6155
NEF	3848
NEF	10383
NEF	6158
NEF	3859
NEF	6129
NEF	203068
NEF	3309
NEF	3305
NEF	72
NEF	23012
NEF	6230
NEF	10376
NEF	6192
NEF	6161
NEF	6136
NEF	6135
NEF	26986
NEF	5209
NEF	6132
NEF	3187
NEF	6194
NEF	10189
NEF	51535
NEF	6152
NEF	3192
NEF	6143
NEF	4691
NEF	2079
NEF	1207
NEF	1660
NEF	10606
NEF	6205
NEF	2316
NEF	8880
NEF	5495
NEF	6157
NEF	6122
NEF	440193
NEF	6874
NEF	9857
NEF	10921
NEF	10419
NEF	4627
NEF	26121
NEF	11329
NEF	6141
NEF	6224
NEF	3312
NEF	25777
NEF	5634
NEF	4144
NEF	10625
NEF	9967
NEF	5034
NEF	6228
NEF	7150
NEF	6208
NEF	5052
NEF	3326
NEF	9349
NEF	8971
NEF	79084
NEF	4869
NEF	3313
NEF	3716
NEF	506
NEF	55704
NEF	552900;654483
NEF	8574
NEF	4836
NEF	9774
NEF	8241
NEF	6628
NEF	5478
NEF	3301
NEF	6711
NEF	10992
NEF	7840
NEF	3832
NEF	6202
NEF	6124
NEF	60
NEF	51479
NEF	6155
NEF	10574
NEF	6158
NEF	6129
NEF	10927
NEF	6634
NEF	6633
NEF	6632
NEF	1975
NEF	80321
NEF	203068
NEF	3868
NEF	3329
NEF	4176
NEF	476
NEF	10005
NEF	7280
NEF	3301
NEF	8086
NEF	338785
NEF	10382
NEF	3857
NEF	5537
NEF	10376
NEF	3856
NEF	6206
NEF	498
NEF	3853
NEF	3855
NEF	3866
NEF	60
NEF	10128
NEF	6217
NEF	3861
NEF	5591
NEF	3850
NEF	5052
NEF	4522
NEF	5214
NEF	3848
NEF	10383
NEF	347733
NEF	3852
NEF	2193
NEF	6169
NEF	10606
NEF	51350
NEF	1072
NEF	1938
NEF	3872
NEF	3858
NEF	3860
NEF	80774
NEF	7284
NEF	3880
NEF	55205
NEF	448834
NEF	203068
NEF	4836
NEF	3849
RT	6217
RT	6224
RT	10382
RT	3868
RT	3854
RT	3857
RT	3848
RT	286887
RT	203068
RT	3853
RT	3855
RT	5495
RT	3861
RT	8148
RT	27316
RT	3872
RT	3858
RT	2521
RT	3856
RT	54474
RT	6224
RT	3312
RT	552900;654483
RT	3849
REV	5096
REV	10376
REV	5095
REV	59
REV	6130
REV	8773
REV	58
REV	10382
REV	4904
REV	3857
REV	10856
REV	32
REV	5315
REV	2597
REV	10383
REV	6141
REV	6137
REV	6202
REV	60
REV	70
REV	112939
REV	3187
REV	5052
REV	3848
REV	11273
REV	3326
REV	3309
REV	4172
REV	1072
REV	5091
REV	6129
REV	7311;7314;6233;7316
REV	31
REV	203068
REV	52
REV	72
REV	64087
REV	3312
REV	56922
REV	3329
REV	23012
REV	6230
REV	101929876;6231
REV	10376
REV	8334
REV	3178
REV	3185
REV	3008
REV	6161
REV	2950
REV	6136
REV	6135
REV	26986
REV	3187
REV	65264
REV	5701
REV	6234
REV	5315
REV	6202
REV	3190
REV	10189
REV	3029
REV	6188
REV	2197
REV	6143
REV	6146
REV	1207
REV	8329;8330;8336;8969;8332
REV	2079
REV	23450
REV	9584
REV	23521
REV	3849
REV	1660
REV	6181
REV	64965
REV	6175
REV	6233
REV	6223
REV	347688
REV	6130
REV	6157
REV	10419
REV	6205
REV	6154
REV	6229
REV	4904
REV	2316
REV	51649
REV	5495
REV	54460
REV	6138
REV	8886
REV	85236
REV	4839
REV	6125
REV	54039
REV	6189
REV	6194
REV	3921
REV	8335;3012
REV	6147
REV	55681
REV	6182
REV	11329
REV	6141
REV	708
REV	6224
REV	3312
REV	2597
REV	8761
REV	3609
REV	6228
REV	7150
REV	6208
REV	7153
REV	6222
REV	5052
REV	3858
REV	55692
REV	92815
REV	10236
REV	8241
REV	3009
REV	79084
REV	4869
REV	3192
REV	6191
REV	6651
REV	26121
REV	6207
REV	144097
REV	84310
REV	6128
REV	6780
REV	9045
REV	7155
REV	80321
REV	28957
REV	3301
REV	645345
REV	10382
REV	6134
REV	262
REV	8826
REV	6206
REV	6193
REV	6203
REV	6137
REV	552900;654483
REV	6124
REV	6210
REV	60
REV	6217
REV	55037
REV	11224
REV	6155
REV	2091
REV	3848
REV	10383
REV	6144
REV	6158
REV	6187
REV	1460
REV	10075
REV	6129
REV	10492
REV	4691
REV	203068
REV	155908
REV	10376
REV	59
REV	4282
REV	7280
REV	6737
REV	5478
REV	3320
REV	10382
REV	3329
REV	2597
REV	58
REV	60
REV	70
REV	5052
REV	10383
REV	2950
REV	347733
REV	1915
REV	11329
REV	203068
REV	3312
