# Flu Proteins/Genes
# PROTEIN  GENE
HA	10994
HA	7327
HA	8604
HA	5700
HA	9276
HA	3032
HA	2193
HA	10130
HA	1743
HA	6836
HA	6389
HA	3703
HA	8661
HA	10908
HA	444
HA	6774
HA	10212
HA	5717
HA	5718
HA	10213
HA	6319
HA	1047
HA	10558
HA	9517
HA	81
HA	10314
HA	813
HA	57016
HA	9403
HA	54600
HA	8813
HA	9868
HA	2181
HA	4513
HA	7037
HA	6184
HA	6277
HA	302
HA	1508
HA	1537
HA	3855
HA	3956
HA	6513
HA	2539
HA	291
HA	293
HA	7184
HA	5211
HA	378
HA	54578
HA	5689
HA	4001
HA	7416
HA	5683
HA	1937
HA	811
HA	821
HA	5686
HA	219
HA	1373
HA	4176
HA	3308
HA	4627
HA	509
HA	2617
HA	830
HA	539
HA	372
HA	22948
HA	7203
HA	5690
HA	10972
HA	871
HA	5878
HA	5872
HA	224
HA	5713
HA	829
HA	6576
HA	1314
HA	8662
HA	6281
HA	10890
HA	10097
HA	29927
HA	5499
HA	5706
HA	7534
HA	5591
HA	375
HA	381
HA	2079
HA	391
HA	5214
HA	7127
HA	79026
HA	10962
HA	2314
HA	10381
HA	1829
HA	1778
HA	9961
HA	9861
HA	6510
HA	1642
HA	80201
HA	92609
HA	23392
HA	254531
HA	10999
HA	169714
HA	347902
HA	89941
HA	57805
HA	9688
HA	128486
HA	51170
HA	79888
HA	55972
HA	51337
HA	84188
HA	9926
HA	23197
HA	54495
HA	6388
HA	11261
HA	10574
HA	8508
HA	79084
HA	84284
HA	23344
HA	84661
HA	64216
HA	94081
HA	54509
HA	23753
HA	29766
HA	9524
HA	29078
HA	51495
HA	26958
HA	51726
HA	6400
HA	10061
HA	10165
HA	26232
HA	5719
HA	10856
HA	8607
HA	9445
HA	26073
HA	57826
HA	10939
HA	22820
HA	58472
M2	9097
M2	51520
M2	5868
M2	9276
M2	3032
M2	84126
M2	10935
M2	9053
M2	10908
M2	10131
M2	5501
M2	4522
M2	8237
M2	8540
M2	10212
M2	5717
M2	5718
M2	4697
M2	10213
M2	1047
M2	23243
M2	10424
M2	8443
M2	10558
M2	5496
M2	8667
M2	1783
M2	5709
M2	57016
M2	4976
M2	4722
M2	23020
M2	10539
M2	51747
