#	rank	protein_a	protein_b	d_AB	s_AB
75	PA [Flu]	VIF [Jurkat]	1.20909090909	0.00626211593645
76	GAG [Jurkat]	HA [Flu]	1.29239766082	0.00931433702773
77	P6 [Jurkat]	PA [Flu]	1.26269315673	0.0102171924099
78	P6 [Jurkat]	PB1 [Flu]	1.26380368098	0.0128004707087
79	PB2 [Flu]	REV [Jurkat]	1.23391812865	0.0149457130046
80	GP120 [Jurkat]	PB1 [Flu]	1.2469352014	0.0150369626535
81	NS1 [Flu]	VPU [Jurkat]	1.299847793	0.0177533454903
82	MA [Jurkat]	NA [Flu]	1.37659963437	0.0181479196326
83	NCC [Jurkat]	NEP [Flu]	1.26362038664	0.0195466377407
84	HA [Flu]	P6 [Jurkat]	1.33935742972	0.0199437566693
85	IN [Jurkat]	PB2 [Flu]	1.25292740047	0.0213751422749
86	HA [Flu]	IN [Jurkat]	1.34651162791	0.022396800051
87	NA [Flu]	P6 [Jurkat]	1.39068100358	0.0226339460695
88	PB2 [Flu]	TAT [Jurkat]	1.23644251627	0.0230169834033
89	GAG [Jurkat]	NEP [Flu]	1.24203821656	0.0231636748739
90	M2 [Flu]	NCC [Jurkat]	1.31034482759	0.0233299022131
91	NC [Jurkat]	PB1 [Flu]	1.27131782946	0.0241299779388
92	PB1 [Flu]	VPR [Jurkat]	1.25947521866	0.024393844337
93	CA [Jurkat]	NA [Flu]	1.37478411054	0.0260237039908
94	NA [Flu]	REV [Jurkat]	1.38715277778	0.0269844079996
95	HA [Flu]	MA [Jurkat]	1.33880903491	0.0289907046361
96	IN [Jurkat]	NA [Flu]	1.40204081633	0.0292926040053
97	NEF [Jurkat]	PB1 [Flu]	1.26750448833	0.0303077228317
98	GAG [Jurkat]	PA [Flu]	1.24678111588	0.0306355008154
99	GP120 [Jurkat]	NEP [Flu]	1.26851851852	0.0324185990987
100	NCC [Jurkat]	PB2 [Flu]	1.25247524752	0.0367552861804
101	NEP [Flu]	POL [Jurkat]	1.25619834711	0.0371499947822
102	NS1 [Flu]	RT [Jurkat]	1.3381147541	0.039431922187
103	NA [Flu]	TAT [Jurkat]	1.39503816794	0.0404166809455
