#	rank	protein_a	protein_b	d_AB	s_AB
92	GP160 [HEK]	PR [HEK]	0.753407682776	-0.460740263673
93	GP120 [HEK]	PR [HEK]	0.745901639344	-0.460100691658
94	REV [HEK]	VIF [HEK]	0.708944281525	-0.454233995894
95	GP120 [HEK]	MA [HEK]	0.767399267399	-0.448832196173
96	CA [HEK]	P6 [HEK]	0.949438202247	-0.447473498492
97	REV [HEK]	RT [HEK]	0.735344827586	-0.445544000152
98	GP41 [HEK]	PR [HEK]	0.811141304348	-0.443594631358
99	NS1 [Flu]	PB1 [Flu]	0.890151515152	-0.443545322362
100	GAG [HEK]	PR [HEK]	0.753462603878	-0.436492221069
101	NC [HEK]	RT [HEK]	0.748201438849	-0.433320300282
102	MA [HEK]	p6 [HEK]	0.857142857143	-0.431531788247
103	HA [Flu]	M2 [Flu]	0.970760233918	-0.430507371716
104	GP41 [HEK]	NEF [HEK]	0.854500616523	-0.428390865295
105	RT [HEK]	TAT [HEK]	0.742386831276	-0.426708872352
106	GP120 [HEK]	IN [HEK]	0.769138755981	-0.426374064532
107	GAG [HEK]	VPU [HEK]	0.796208530806	-0.421456084351
108	GP41 [HEK]	POL [HEK]	0.822510822511	-0.419600678806
109	MA [HEK]	NC [HEK]	0.793686583991	-0.412696394732
110	PR [HEK]	TAT [HEK]	0.774904942966	-0.408822867685
111	PR [HEK]	REV [HEK]	0.790476190476	-0.405044744285
112	CA [HEK]	MA [HEK]	1.00589970501	-0.389956957919
113	NEF [HEK]	TAT [HEK]	0.823741007194	-0.388142349568
114	REV [HEK]	VPU [HEK]	0.835227272727	-0.388003452244
115	TAT [HEK]	VPU [HEK]	0.824397824398	-0.387039776463
116	POL [HEK]	TAT [HEK]	0.784591194969	-0.386512181293
117	GAG [HEK]	POL [HEK]	0.791346153846	-0.385984236711
118	NC [HEK]	VIF [HEK]	0.778249787596	-0.385561401216
119	GAG [HEK]	Pol [HEK]	0.786694825766	-0.383453458416
120	IN [HEK]	TAT [HEK]	0.789992952784	-0.383245347378
121	P6 [HEK]	RT [HEK]	0.80572597137	-0.383233784289
122	GAG [HEK]	VPR [HEK]	0.847179487179	-0.37578815828
123	GP120 [HEK]	NEF [HEK]	0.866171003717	-0.367986873396
124	MA [HEK]	REV [HEK]	0.838919925512	-0.366830141819
125	POL [HEK]	REV [HEK]	0.820049301561	-0.362847198811
126	GAG [HEK]	IN [HEK]	0.828138163437	-0.35132715102
127	HA [Flu]	NS1 [Flu]	1.06227106227	-0.339836238019
128	IN [HEK]	MA [HEK]	0.855140186916	-0.336907127472
129	NC [HEK]	PR [HEK]	0.85927306617	-0.336880779984
130	NS1 [Flu]	PA [Flu]	1.00877192982	-0.326397661739
131	GAG [HEK]	GP160 [HEK]	0.889705882353	-0.322089196735
132	NA [Flu]	NEF [HEK]	1.06308724832	-0.321123134042
133	TAT [HEK]	VPR [HEK]	0.897265948633	-0.319474682531
134	NEF [HEK]	REV [HEK]	0.905617977528	-0.318058503345
135	IN [HEK]	REV [HEK]	0.868768328446	-0.316263095826
136	MA [HEK]	TAT [HEK]	0.878653675819	-0.315303267401
137	GP160 [HEK]	P6 [HEK]	0.910869565217	-0.314562551607
138	REV [HEK]	VPR [HEK]	0.914930555556	-0.313603199719
139	NC [HEK]	POL [HEK]	0.870873786408	-0.312655625357
140	P6 [HEK]	VPR [HEK]	0.925155925156	-0.31144875804
141	P6 [HEK]	Pol [HEK]	0.872527472527	-0.311257849391
142	M2 [Flu]	NS1 [Flu]	1.07552870091	-0.30531099375
143	MA [HEK]	NEF [HEK]	0.926239419589	-0.3044529514
144	GAG [HEK]	NEF [HEK]	0.914507772021	-0.303602599037
145	NC [HEK]	VPU [HEK]	0.921531100478	-0.302332535885
146	GP120 [HEK]	P6 [HEK]	0.916883116883	-0.300403384494
147	P6 [HEK]	POL [HEK]	0.893772893773	-0.297194534521
148	Pol [HEK]	TAT [HEK]	0.867684478372	-0.296236791515
149	NA [Flu]	NS1 [Flu]	1.15615615616	-0.294584528599
150	RT [HEK]	p6 [HEK]	0.978448275862	-0.285365129935
151	Pol [HEK]	REV [HEK]	0.89768683274	-0.278027561257
152	GAG [HEK]	GP41 [HEK]	0.977298524404	-0.275084543941
153	IN [HEK]	NA [Flu]	1.07493540052	-0.270629925247
154	GP41 [HEK]	P6 [HEK]	1.00514138817	-0.260878717906
155	NC [HEK]	Pol [HEK]	0.916932907348	-0.259414398041
156	CA [HEK]	GP120 [HEK]	1.14018691589	-0.259135253171
157	GAG [HEK]	GP120 [HEK]	0.945267958951	-0.25838150469
158	NC [HEK]	VPR [HEK]	0.976165803109	-0.253000863558
159	P6 [HEK]	PR [HEK]	0.95246179966	-0.251130063022
160	GP160 [HEK]	NA [Flu]	1.12939001848	-0.24850507191
161	NA [Flu]	VPU [HEK]	1.14018691589	-0.243577710575
162	P6 [HEK]	VPU [HEK]	0.992869875223	-0.23843177767
163	NA [Flu]	VIF [HEK]	1.08914728682	-0.234564892088
164	NA [Flu]	POL [HEK]	1.11642743222	-0.227002969647
165	CA [HEK]	Pol [HEK]	1.14066496164	-0.225156027963
166	GP120 [HEK]	p6 [HEK]	1.07222222222	-0.219917929293
167	GP160 [HEK]	HA [Flu]	1.11018711019	-0.219074595742
168	GP160 [HEK]	TAT [HEK]	0.989864864865	-0.215703199927
169	GP41 [HEK]	p6 [HEK]	1.12637362637	-0.214500129845
170	Pol [HEK]	p6 [HEK]	1.04418604651	-0.214452925544
171	GP160 [HEK]	REV [HEK]	1.00885739593	-0.208503792977
172	NC [HEK]	NEF [HEK]	1.01829268293	-0.206016709338
