# This file contains a filtered version of the Human Interactome that includes
# only the yeast two-hybrd interactions ("Binary interactions").
# gene_ID_1	 gene_ID_2	data_source(s)
2885	2887	binary;literature
7189	7322	binary;literature
10980	9796	binary;literature;signaling
2157	28912	binary;literature
1277	1690	binary;literature
2948	55791	binary;literature;signaling
11244	51588	binary;literature;signaling
154075	2189	binary;literature
57473	7525	binary;literature;signaling
177	7276	binary;literature
29924	57562	binary;literature;signaling
320	320	binary;literature
158471	57333	binary;literature;signaling
10313	9513	binary;literature;signaling
3183	5257	binary;literature
27231	6303	binary;literature;signaling
25	83541	binary;literature
63943	9094	binary;literature;signaling
1748	2885	binary;literature
6919	85302	binary;literature;signaling
10529	84676	binary;literature
2313	4093	binary;literature;signaling
23543	9491	binary;literature
10469	369	binary;literature
55791	64968	binary;literature
231	4086	binary;literature
317	5499	binary;literature
23286	79577	binary;literature;signaling
64376	64376	binary;literature
1398	7159	binary;literature
2547	3064	binary;literature;signaling
2885	3224	binary;literature
11030	84904	binary;literature
23328	6498	binary;literature
23038	9439	binary;literature;signaling
11269	1633	binary;literature
55906	79036	binary;literature
55268	9947	binary;literature
23498	2571	binary;literature;signaling
1173	27156	binary;literature;signaling
23641	54906	binary;literature
2146	6611	binary;literature;signaling
10069	10912	binary;literature
1523	5925	binary;literature;signaling
2885	64762	binary;literature
6887	6925	binary;literature
4591	54840	binary;literature;signaling
25843	51078	binary;literature
3581	7534	binary;literature;signaling
2690	5794	binary;literature
10328	9694	binary;literature
1785	54469	binary;literature;signaling
10298	54815	binary;literature;signaling
1434	80021	binary;literature;signaling
2885	5863	binary;literature
4193	9349	binary;literature
4867	80306	binary;literature
10193	7251	binary;literature
25	6714	binary;literature;signaling;kinase
4093	64374	binary;literature;signaling
6675	6675	binary;literature
26986	5093	binary;literature;signaling
54941	55284	binary;literature
11244	54472	binary;literature;signaling
2339	5911	binary;literature
26058	914	binary;literature
5987	7328	binary;literature
10933	114932	binary;literature;signaling
23641	84708	binary;literature;signaling
640	6774	binary;kinase
55663	7572	binary;literature;signaling
3156	90627	binary;literature;signaling
359845	8794	binary;literature;signaling
4089	5678	binary;literature;signaling
10602	7372	binary;literature
29956	432	binary;literature;signaling
5894	8533	binary;literature;signaling
7431	84260	binary;literature;signaling
3728	9372	binary;literature;signaling
11007	54927	binary;literature;signaling
11228	5710	binary;literature;signaling
23543	84528	binary;literature;signaling
284403	284403	binary;literature
55663	85359	binary;literature;signaling
1822	252983	binary;literature
1956	6850	binary;literature
23462	6498	binary;literature;signaling
580	9001	binary;literature;signaling
3689	51454	binary;literature
54550	56159	binary;literature;signaling
7334	90678	binary;literature
6890	83755	binary;literature;signaling
26097	7919	binary;literature
10241	9513	binary;literature;signaling
65080	7431	binary;literature;signaling
283	5728	binary;literature;signaling
10912	1915	binary;literature;signaling
5515	84634	binary;literature
5770	6098	binary;literature
2130	64777	binary;literature;signaling
56652	6613	binary;literature;signaling
29089	54708	binary;literature
56474	56474	binary;literature
7334	7335	binary;literature
25934	9001	binary;literature;signaling
55139	9212	binary;literature;signaling
1399	2064	binary;literature
2334	2885	binary;literature
51074	84313	binary;literature
409	5601	binary;literature
6256	8648	binary;literature;signaling
3093	51444	binary;literature
2130	54475	binary;literature
2670	80022	binary;literature;signaling
11339	673	binary;literature
1124	6613	binary;literature;signaling
11007	147687	binary;literature;signaling
3875	7251	binary;literature
54840	64061	binary;literature;signaling
51003	8988	binary;literature;signaling
10542	81552	binary;literature
23433	57120	binary;literature;signaling
89797	9063	binary;literature;signaling
56893	9463	binary;literature;signaling
23295	7322	binary;literature
4097	51003	binary;literature;signaling
4690	5058	binary;literature;signaling
29995	64750	binary;literature
4690	7287	binary;literature
2826	2885	binary;literature
10813	29911	binary;literature;signaling
1785	6714	binary;literature
4188	9814	binary;literature;signaling
26001	3093	binary;literature
11276	26088	binary;literature;signaling
148	649	binary;literature;signaling
2547	65057	binary;literature;signaling
1316	1952	binary;literature;signaling
7335	84937	binary;literature
22938	51645	binary;literature;complexes
10018	4170	binary;literature
22981	8227	binary;literature;signaling
11007	79025	binary;literature;signaling
2137	6714	binary;literature
26135	7431	binary;literature;signaling
84966	8527	binary;literature
55324	6696	binary;literature;signaling
5362	9898	binary;literature;signaling
3400	5295	binary;literature
10813	7572	binary;literature;signaling
1031	55183	binary;literature
3039	5728	binary;literature;signaling
22888	7324	binary;literature;signaling
10474	3312	binary;literature;signaling
207	5493	binary;literature
4092	51588	binary;literature;signaling
54622	5764	binary;literature
