#	rank	protein_a	protein_b	d_AB	s_AB
66	Pol [HEK]	VPU [HEK]	0.595607235142	-0.604603706611
67	IN [HEK]	Pol [HEK]	0.567328918322	-0.594682722731
68	NEF [HEK]	POL [HEK]	0.618556701031	-0.589282102999
69	Pol [HEK]	VPR [HEK]	0.618155619597	-0.587358352459
70	POL [HEK]	VPU [HEK]	0.620530565167	-0.586862482961
71	POL [HEK]	VPR [HEK]	0.627700127065	-0.584995951367
72	PR [HEK]	Pol [HEK]	0.589775561097	-0.582725590446
73	GP120 [HEK]	Pol [HEK]	0.603678929766	-0.582516860472
74	GP160 [HEK]	Pol [HEK]	0.615156017831	-0.579185387854
75	POL [HEK]	RT [HEK]	0.594968553459	-0.570082597436
76	IN [HEK]	VPR [HEK]	0.645610278373	-0.569220723958
77	GP160 [HEK]	VPU [HEK]	0.673940949936	-0.567916786723
78	Pol [HEK]	RT [HEK]	0.594017094017	-0.563851950503
79	MA [HEK]	Pol [HEK]	0.621753246753	-0.560977037359
80	NEP [Flu]	PB2 [Flu]	0.705394190871	-0.560369668629
81	PR [HEK]	VPR [HEK]	0.665060240964	-0.560260271857
82	GP160 [HEK]	POL [HEK]	0.649214659686	-0.552308852374
83	GP41 [HEK]	VPU [HEK]	0.733050847458	-0.549394878458
84	NEF [HEK]	VPR [HEK]	0.704972375691	-0.548503683241
85	GP41 [HEK]	Pol [HEK]	0.687707641196	-0.547221753745
86	NS1 [Flu]	PB2 [Flu]	0.766666666667	-0.542878063961
87	RT [HEK]	VPR [HEK]	0.668493150685	-0.542195255112
88	GP160 [HEK]	VIF [HEK]	0.643249176729	-0.538556112377
89	RT [HEK]	VPU [HEK]	0.672839506173	-0.532545869321
90	MA [HEK]	P6 [HEK]	0.684863523573	-0.528957471679
91	IN [HEK]	PR [HEK]	0.654510556622	-0.527307625196
92	GP120 [HEK]	VPU [HEK]	0.707386363636	-0.526325757576
93	NEF [HEK]	PR [HEK]	0.696939782823	-0.523523455596
94	GP160 [HEK]	IN [HEK]	0.689352360044	-0.514306075915
95	GAG [HEK]	VIF [HEK]	0.646166807077	-0.511445360527
96	MA [HEK]	VPU [HEK]	0.720994475138	-0.509252139949
97	PR [HEK]	VPU [HEK]	0.710989010989	-0.509028471528
98	GP41 [HEK]	RT [HEK]	0.738993710692	-0.501110117991
99	MA [HEK]	PR [HEK]	0.702127659574	-0.500409165303
100	GP160 [HEK]	RT [HEK]	0.708628005658	-0.490887833768
101	M2 [Flu]	NA [Flu]	0.962686567164	-0.487214422935
102	TAT [HEK]	VIF [HEK]	0.665961945032	-0.485423208277
103	GP120 [HEK]	VIF [HEK]	0.688995215311	-0.484664458349
104	GAG [HEK]	RT [HEK]	0.692777212614	-0.482545505309
105	GP120 [HEK]	RT [HEK]	0.708860759494	-0.482509464485
106	MA [HEK]	VPR [HEK]	0.753105590062	-0.482444055328
107	GAG [HEK]	MA [HEK]	0.720178372352	-0.480005585164
108	NEF [HEK]	Pol [HEK]	0.721778791334	-0.47887790632
109	GP41 [HEK]	MA [HEK]	0.789090909091	-0.475874159185
110	IN [HEK]	RT [HEK]	0.692144373673	-0.475041701122
111	GP41 [HEK]	VIF [HEK]	0.747619047619	-0.474774230744
112	MA [HEK]	VIF [HEK]	0.696261682243	-0.473932485292
113	GP41 [HEK]	IN [HEK]	0.771428571429	-0.472817853788
114	GP120 [HEK]	POL [HEK]	0.721335268505	-0.472042628108
115	NEP [Flu]	NS1 [Flu]	0.8669527897	-0.470945728486
116	MA [HEK]	POL [HEK]	0.720733427362	-0.469178963126
117	NEF [HEK]	RT [HEK]	0.739320920044	-0.466510211352
118	GP160 [HEK]	NEF [HEK]	0.777777777778	-0.464525714782
119	GP160 [HEK]	MA [HEK]	0.763285024155	-0.461092054864
120	GP160 [HEK]	PR [HEK]	0.753407682776	-0.460740263673
121	GP120 [HEK]	PR [HEK]	0.745901639344	-0.460100691658
122	REV [HEK]	VIF [HEK]	0.708944281525	-0.454233995894
123	GP120 [HEK]	MA [HEK]	0.767399267399	-0.448832196173
124	CA [HEK]	P6 [HEK]	0.949438202247	-0.447473498492
125	REV [HEK]	RT [HEK]	0.735344827586	-0.445544000152
126	GP41 [HEK]	PR [HEK]	0.811141304348	-0.443594631358
127	NS1 [Flu]	PB1 [Flu]	0.890151515152	-0.443545322362
128	GAG [HEK]	PR [HEK]	0.753462603878	-0.436492221069
129	NC [HEK]	RT [HEK]	0.748201438849	-0.433320300282
130	MA [HEK]	p6 [HEK]	0.857142857143	-0.431531788247
131	HA [Flu]	M2 [Flu]	0.970760233918	-0.430507371716
132	GP41 [HEK]	NEF [HEK]	0.854500616523	-0.428390865295
133	RT [HEK]	TAT [HEK]	0.742386831276	-0.426708872352
134	GP120 [HEK]	IN [HEK]	0.769138755981	-0.426374064532
135	GAG [HEK]	VPU [HEK]	0.796208530806	-0.421456084351
136	GP41 [HEK]	POL [HEK]	0.822510822511	-0.419600678806
137	MA [HEK]	NC [HEK]	0.793686583991	-0.412696394732
138	PR [HEK]	TAT [HEK]	0.774904942966	-0.408822867685
139	PR [HEK]	REV [HEK]	0.790476190476	-0.405044744285
140	CA [HEK]	MA [HEK]	1.00589970501	-0.389956957919
141	NEF [HEK]	TAT [HEK]	0.823741007194	-0.388142349568
142	REV [HEK]	VPU [HEK]	0.835227272727	-0.388003452244
143	TAT [HEK]	VPU [HEK]	0.824397824398	-0.387039776463
144	POL [HEK]	TAT [HEK]	0.784591194969	-0.386512181293
145	GAG [HEK]	POL [HEK]	0.791346153846	-0.385984236711
146	NC [HEK]	VIF [HEK]	0.778249787596	-0.385561401216
147	GAG [HEK]	Pol [HEK]	0.786694825766	-0.383453458416
148	IN [HEK]	TAT [HEK]	0.789992952784	-0.383245347378
149	P6 [HEK]	RT [HEK]	0.80572597137	-0.383233784289
150	GAG [HEK]	VPR [HEK]	0.847179487179	-0.37578815828
151	GP120 [HEK]	NEF [HEK]	0.866171003717	-0.367986873396
152	MA [HEK]	REV [HEK]	0.838919925512	-0.366830141819
153	POL [HEK]	REV [HEK]	0.820049301561	-0.362847198811
154	GAG [HEK]	IN [HEK]	0.828138163437	-0.35132715102
155	HA [Flu]	NS1 [Flu]	1.06227106227	-0.339836238019
156	IN [HEK]	MA [HEK]	0.855140186916	-0.336907127472
157	NC [HEK]	PR [HEK]	0.85927306617	-0.336880779984
158	NS1 [Flu]	PA [Flu]	1.00877192982	-0.326397661739
159	GAG [HEK]	GP160 [HEK]	0.889705882353	-0.322089196735
160	NA [Flu]	NEF [HEK]	1.06308724832	-0.321123134042
161	TAT [HEK]	VPR [HEK]	0.897265948633	-0.319474682531
162	NEF [HEK]	REV [HEK]	0.905617977528	-0.318058503345
163	IN [HEK]	REV [HEK]	0.868768328446	-0.316263095826
164	MA [HEK]	TAT [HEK]	0.878653675819	-0.315303267401
165	GP160 [HEK]	P6 [HEK]	0.910869565217	-0.314562551607
166	REV [HEK]	VPR [HEK]	0.914930555556	-0.313603199719
167	NC [HEK]	POL [HEK]	0.870873786408	-0.312655625357
168	P6 [HEK]	VPR [HEK]	0.925155925156	-0.31144875804
169	P6 [HEK]	Pol [HEK]	0.872527472527	-0.311257849391
170	M2 [Flu]	NS1 [Flu]	1.07552870091	-0.30531099375
171	MA [HEK]	NEF [HEK]	0.926239419589	-0.3044529514
172	GAG [HEK]	NEF [HEK]	0.914507772021	-0.303602599037
173	NC [HEK]	VPU [HEK]	0.921531100478	-0.302332535885
174	GP120 [HEK]	P6 [HEK]	0.916883116883	-0.300403384494
175	P6 [HEK]	POL [HEK]	0.893772893773	-0.297194534521
176	Pol [HEK]	TAT [HEK]	0.867684478372	-0.296236791515
177	NA [Flu]	NS1 [Flu]	1.15615615616	-0.294584528599
178	RT [HEK]	p6 [HEK]	0.978448275862	-0.285365129935
179	Pol [HEK]	REV [HEK]	0.89768683274	-0.278027561257
180	GAG [HEK]	GP41 [HEK]	0.977298524404	-0.275084543941
181	IN [HEK]	NA [Flu]	1.07493540052	-0.270629925247
182	GP41 [HEK]	P6 [HEK]	1.00514138817	-0.260878717906
183	NC [HEK]	Pol [HEK]	0.916932907348	-0.259414398041
184	CA [HEK]	GP120 [HEK]	1.14018691589	-0.259135253171
185	GAG [HEK]	GP120 [HEK]	0.945267958951	-0.25838150469
186	NC [HEK]	VPR [HEK]	0.976165803109	-0.253000863558
187	P6 [HEK]	PR [HEK]	0.95246179966	-0.251130063022
