10121	ACTR1A
10432	RBM14
830	CAPZA2
51479	ANKFY1
51366	UBR5
8886	DDX18
8880	FUBP1
84284	NTPCR
65008	MRPL1
100526737	RBM14-RBM4
8968	HIST1H3F
5689	PSMB1
9785	DHX38
54442	KCTD5
7534	YWHAZ
5686	PSMA5
5683	PSMA2
6827	SUPT4H1
54658	UGT1A1
381	ARF5
3840	KPNA4
3799	KIF5B
3315	HSPB1
4702	NDUFA8
23780	APOL2
9391	CIAO1
1642	DDB1
6774	STAT3
84803	AGPAT9
10981	RAB32
23788	MTCH2
5872	RAB13
8813	DPM1
9961	MVP
169714	QSOX2
5878	RAB5C
51747	LUC7L3
60488	MRPS35
2193	FARSA
2194	FASN
653604	HIST2H3D
2197	FAU
3162	HMOX1
5432	POLR2C
5433	POLR2D
5430	POLR2A
5431	POLR2B
5436	POLR2G
5434	POLR2E
26986	PABPC1
58472	SQRDL
58477	SRPRB
7150	TOP1
509	ATP5C1
26232	FBXO2
23524	SRRM2
1353	COX11
9500	MAGED1
10314	LANCL1
23646	PLD3
9868	TOMM70A
3728	JUP
51520	LARS
161	AP2A2
132299	OCIAD2
85450	ITPRIP
3688	ITGB1
85456	TNKS1BP1
4831	NME2
4522	MTHFD1
8661	EIF3A
8662	EIF3B
8665	EIF3F
8667	EIF3H
80273	GRPEL1
65080	MRPL44
5111	PCNA
5110	PCMT1
349667	RTN4RL2
10165	SLC25A13
6629	SNRPB2
6626	SNRPA
9183	ZW10
23185	LARP4B
8402	SLC25A11
27183	VPS4A
9221	NOLC1
23225	NUP210
100287932	TIMM23
7203	CCT3
51552	RAB14
6223	RPS19
2746	GLUD1
55173	MRPS10
7779	SLC30A1
26958	COPG2
26953	RANBP6
6734	SRPR
6633	SNRPD2
126961	HIST2H3C
5834	PYGB
5879	RAC1
1977	EIF4E
27292	DIMT1
1973	EIF4A1
11253	MAN1B1
55770	EXOC2
80305	TRABD
47	ACLY
54578	UGT1A6
9926	LPGAT1
216	ALDH1A1
217	ALDH2
55505	NOP10
11198	SUPT16H
89941	RHOT2
1783	DYNC1LI2
9733	SART3
54059	YBEY
219	ALDH1B1
7112	TMPO
10213	PSMD14
10212	DDX39A
161424	NOP9
4705	NDUFA10
4704	NDUFA9
57826	RAP2C
51170	HSD17B11
1891	ECH1
79026	AHNAK
