#PROTEIN	GENE ID
GP160	11331
GP160	79084
GP160	84790
GP160	83732
GP160	23071
GP160	347733
GP160	2530
GP160	552900;654483
GP160	23753
GP160	26270
GP160	51495
GP160	51726
GP160	6400
GP160	10419
GP160	401
GP160	23077
GP160	5495
GP160	8614
GP160	3861
GP160	3853
GP160	3848
GP160	3303;3304
GP160	3008
GP160	3309
GP160	1327
GP160	3858
GP160	5589
GP160	6737
GP160	6137
GP160	821
GP160	3857
GP160	3849
GP160	6124
GP160	7417
GP160	6157
GP160	6159
GP160	3832
GP160	6224
GP160	6130
GP160	10376
GP160	10383
GP160	8241
GP160	6128
GP160	8402
GP160	10970
GP160	11329
GP160	11331
GP160	79084
GP160	347733
GP160	552900;654483
GP160	23753
GP160	51726
GP160	10857
GP160	10419
GP160	10653
GP160	10613
GP160	5495
GP160	5716
GP160	10211
GP160	23353
GP160	11160
GP160	3106
GP160	7037
GP160	3848
GP160	10382
GP160	6184
GP160	476
GP160	351
GP160	292
GP160	5034
GP160	203068
GP160	7388
GP160	3303;3304
GP160	3309
GP160	3312
GP160	1327
GP160	3858
GP160	5589
GP160	1340
GP160	488
GP160	7416
GP160	1975
GP160	5682
GP160	2040
GP160	811
GP160	821
GP160	3187
GP160	5245
GP160	3857
GP160	6124
GP160	6122
GP160	3030
GP160	7417
GP160	3998
GP160	5713
GP160	3832
GP160	1207
GP160	3306
GP160	3032
GP160	60
GP160	6194
GP160	7311;7314;6233;7316
GP160	6169
GP160	1915
GP160	10376
GP160	10383
GP160	8241
GP160	54726
GP160	1824
GP160	6128
GP160	708
GP160	10970
GP160	7280
GP160	5955
GP160	1825
GP160	23193
GP160	5445
GP160	11329
GP160	10454
GP160	10342
GP160	27248
GP160	54495
GP160	55705
GP160	5707
GP160	6388
GP160	11331
GP160	79084
GP160	79188
GP160	347733
GP160	2530
GP160	552900;654483
GP160	23753
GP160	26270
GP160	51726
GP160	6400
GP160	25777
GP160	5719
GP160	7419
GP160	23012
GP160	10419
GP160	5495
GP160	10382
GP160	3303;3304
GP160	3008
GP160	3309
GP160	3312
GP160	5589
GP160	498
GP160	821
GP160	6124
GP160	7417
GP160	6158
GP160	6159
GP160	3832
GP160	6228
GP160	6130
GP160	6194
GP160	10383
GP160	10970
GP160	5708
GP160	3837
GP160	11329
GP160	26292
GP160	11331
GP160	83732
GP160	347733
GP160	23753
GP160	54442
GP160	51726
GP41	10857
GP41	10419
GP41	5359
GP41	10613
GP41	5495
GP41	57827
GP41	4716
GP41	7037
GP41	10382
GP41	351
GP41	5034
GP41	203068
GP41	3303;3304
GP41	3329
GP41	3309
GP41	3312
GP41	1327
GP41	3858
GP41	7184
GP41	1340
GP41	488
GP41	9377
GP41	7416
GP41	1975
GP41	498
GP41	821
GP41	2923
GP41	5245
GP41	4627
GP41	2521
GP41	7417
GP41	3998
GP41	3832
GP41	7415
GP41	4637
GP41	60
GP41	7311;7314;6233;7316
GP41	1915
GP41	10376
GP41	10383
GP41	8241
GP41	7639
GP41	10970
GP41	10549
GP41	10381
GP41	7280
GP41	23193
GP41	3930
GP41	11329
GP41	147746
GP41	10342
GP41	6388
GP41	11331
GP41	79084
GP41	347733
GP41	552900;654483
GP41	23753
GP41	26270
GP41	54442
GP41	56886
GP41	30968
GP41	7419
GP41	10419
GP41	5359
GP41	5495
GP41	11160
GP41	6690
GP41	5034
GP41	203068
GP41	3008
GP41	3309
GP41	3312
GP41	1327
GP41	140465
GP41	488
GP41	7416
GP41	811
GP41	821
GP41	2923
GP41	5245
GP41	4627
GP41	7417
GP41	6159
GP41	7284
GP41	3832
GP41	60
GP41	7311;7314;6233;7316
GP41	10383
GP41	5591
GP41	8402
GP41	10960
GP41	10549
GP41	90231
GP41	93380
GP41	81567
GP41	11331
GP41	79084
GP41	83732
GP41	552900;654483
GP41	30968
GP41	7419
GP41	10419
GP41	5359
GP41	9403
GP41	9681
GP41	5495
GP41	10382
GP41	292
GP41	1345
GP41	3008
GP41	3309
GP41	3312
GP41	7416
GP41	821
GP41	5245
GP41	3857
GP41	7417
GP41	6159
GP41	7284
GP41	3832
GP41	6224
GP41	7311;7314;6233;7316
GP41	1915
GP41	10376
GP41	2969
GP41	8241
GP41	8402
GP41	6659
GP41	10970
GP41	10549
GP41	4647
GP41	23193
GP41	11329
GP41	51329
GP41	90231
GP41	93380
GP41	81567
GP41	64419
GP41	10342
GP41	27248
GP41	11331
GP41	79084
GP41	54442
GP41	30968
GP41	23112
GP41	7419
GP41	10857
GP41	10419
GP41	80777
GP41	9403
GP41	10613
GP41	5495
GP41	11160
GP41	23052
GP41	4716
GP41	10452
GP41	3105
GP41	7037
GP41	476
GP41	351
GP41	292
GP41	5034
GP41	203068
GP41	7388
GP41	3303;3304
GP41	1329
GP41	3309
GP41	3312
GP41	291
GP41	7184
GP41	1340
GP41	1350
GP41	488
GP41	3310
GP41	9377
GP41	7416
GP41	811
GP41	821
GP41	4719
GP41	2923
GP41	3187
GP41	3305
GP41	5245
GP41	4627
GP41	5824
GP41	7112
GP41	7417
GP41	3998
GP41	3832
GP41	1207
GP41	7415
GP41	60
GP41	2782
GP41	7311;7314;6233;7316
GP41	1915
GP41	10376
GP41	7277
GP41	10383
GP41	5591
GP41	8241
GP41	10970
GP41	10549
GP41	7280
GP41	5955
GP41	23193
GP41	5445
GP41	11329
GP41	7846
GP41	93380
GP41	54495
GP41	11331
GP41	79084
GP41	79001
GP41	84272
GP41	347733
GP41	55735
GP41	54442
GP41	60481
GP41	56886
GP41	51495
GP41	6400
GP41	30968
GP41	7419
IN	4794
IN	23060
IN	292
IN	506
IN	203068
IN	3303;3304
IN	3008
IN	3309
IN	3312
IN	1159;548596
IN	1832
IN	11016
IN	6737
IN	3301
IN	4176
IN	6124
IN	6232
IN	6159
IN	7284
IN	60
IN	6222
IN	1915
IN	10376
IN	10383
IN	5591
IN	8402
IN	6141
IN	10381
IN	7280
IN	3837
IN	7378
IN	92609
IN	83858
IN	136227
IN	84617
IN	347733
IN	23195
IN	55210
IN	9524
IN	23112
IN	8471
IN	26953
IN	8813
IN	10294
IN	23066
IN	11160
IN	51366
IN	2181
IN	9131
IN	3861
IN	3848
IN	10382
IN	476
IN	292
IN	3875
IN	3856
IN	203068
IN	3303;3304
IN	3326
IN	3880
IN	3868
IN	3309
IN	3312
IN	293
IN	3858
IN	9601
IN	1832
IN	6950
IN	3866
IN	3851
IN	7317
IN	1786
IN	7407
IN	790
IN	5594
IN	5518
IN	3301
IN	4176
IN	2521
IN	3313
IN	23310
IN	6193
IN	7203
IN	7284
IN	6576
IN	3306
IN	60
IN	7311;7314;6233;7316
IN	1915
IN	10376
IN	10383
IN	5591
IN	5250
IN	5351
IN	6890
IN	3872
IN	3959
IN	11018
IN	10381
IN	7280
IN	5955
IN	9690
IN	10989
IN	219743
IN	92609
IN	23511
IN	54919
IN	89941
IN	79711
IN	10985
IN	23165
IN	10342
IN	84790
IN	53918
IN	84284
IN	84617
IN	347733
IN	55898
IN	23195
IN	55325
IN	55215
IN	55210
IN	51495
IN	51647
IN	10939
IN	7514
IN	23066
IN	11160
IN	51366
IN	2181
IN	9131
IN	3861
IN	3848
IN	10382
IN	476
IN	292
IN	3856
IN	2023
IN	203068
IN	3303;3304
IN	3326
IN	1267
IN	3309
IN	3312
IN	5111
IN	291
IN	293
IN	1938
IN	3858
IN	1832
IN	488
IN	6950
IN	6188
IN	498
IN	790
IN	3301
IN	4176
IN	3857
IN	2521
IN	3849
IN	3313
IN	10128
IN	7284
IN	3306
IN	6396
IN	60
IN	6208
IN	7311;7314;6233;7316
IN	1915
IN	10376
IN	10383
IN	5591
IN	5250
IN	5351
IN	3959
IN	10381
IN	7280
IN	5955
IN	219743
IN	55750
IN	83858
IN	57221
IN	79711
IN	10985
IN	23165
IN	10342
IN	84790
IN	84284
IN	84617
IN	347733
IN	55898
IN	23195
IN	55215
IN	54927
IN	51495
IN	51726
IN	26993
IN	51647
IN	26517
IN	3500
IN	292
IN	203068
IN	3303;3304
IN	3008
IN	3309
IN	3312
IN	291
IN	293
IN	1159;548596
IN	1832
IN	488
IN	498
IN	3301
IN	4176
IN	2521
IN	6122
IN	7284
IN	2010
IN	60
IN	6235
IN	9349
IN	6169
IN	10376
IN	7277
IN	10383
IN	2969
IN	5591
IN	5250
IN	8402
IN	113457;7278
IN	7280
IN	219743
IN	92609
IN	10342
IN	84617
IN	347733
IN	55210
IN	9524
IN	23112
MA	3848
MA	6176
MA	203068
MA	2058
MA	3303;3304
MA	3008
MA	3309
MA	3312
MA	1615
MA	6187
MA	3310
MA	6188
MA	6136
MA	3305
MA	2962
MA	2521
MA	6124
MA	3313
MA	6223
MA	6125
MA	6203
MA	6193
MA	5859
MA	3311
MA	9045
MA	5917
MA	6224
MA	6155
MA	6202
MA	6205
MA	6194
MA	4904
MA	6152
MA	6143
MA	6141
MA	22993
MA	9255
MA	7965
MA	23165
MA	10342
MA	11100
MA	552900;654483
MA	51091
MA	51520
MA	3312
MA	6187
MA	6737
MA	6137
MA	6130
MA	101929876;6231
MA	6141
MA	3428
MA	9879
MA	23761
MA	23112
MA	10382
MA	3312
MA	10085
MA	3008
MA	3312
MA	6137
MA	3376
MA	6144
MA	6159
MA	6228
MA	6194
MA	101929876;6231
MA	6152
MA	6141
MA	10342
MA	140801
MA	23112
NC	401
NC	6181
NC	6218
NC	3008
NC	6187
NC	6129
NC	6139
NC	8348
NC	6137
NC	6134
NC	6124
NC	6122
NC	6157
NC	6125
NC	6144
NC	6158
NC	6159
NC	6189
NC	6154
NC	6138
NC	6202
NC	6217
NC	6208
NC	6228
NC	6207
NC	6205
NC	6130
NC	6191
NC	6147
NC	6194
NC	6170
NC	6160
NC	6161
NC	6132
NC	6233
NC	54460
NC	6152
NC	6173
NC	6143
NC	6142
NC	6128
NC	26090
NC	64981
NC	64949
NC	9188
NC	51116
NC	4659
NC	63931
NC	7812
NC	3861
NC	3848
NC	6181
NC	6175
NC	4869
NC	203068
NC	3303;3304
NC	8329;8330;8336;8969;8332
NC	3008
NC	3312
NC	26986
NC	2547
NC	6050
NC	3858
NC	6165
NC	6129
NC	6139
NC	2316
NC	6188
NC	6206
NC	6137
NC	5725
NC	6136
NC	3187
NC	6146
NC	3857
NC	2521
NC	6124
NC	6727
NC	6223
NC	6125
NC	6158
NC	6204
NC	6159
NC	6164
NC	6726
NC	9045
NC	9513
NC	4670
NC	3185
NC	6182
NC	3913
NC	6224
NC	6189
NC	6154
NC	6155
NC	3190
NC	6202
NC	6210
NC	6217
NC	6208
NC	6228
NC	6207
NC	6205
NC	6130
NC	6191
NC	6147
NC	6194
NC	9349
NC	6229
NC	6234
NC	2197
NC	6156
NC	6135
NC	6132
NC	6233
NC	6227
NC	4904
NC	10383
NC	55173
NC	64963
NC	65993
NC	6152
NC	6143
NC	5813
NC	3192
NC	6142
NC	6128
NC	5052
NC	6141
NC	708
