	CA [HEK]	CA [Jurkat]	GAG [HEK]	GAG [Jurkat]	GP120 [HEK]	GP120 [Jurkat]	GP160 [HEK]	GP160 [Jurkat]	GP41 [HEK]	GP41 [Jurkat]	IN [HEK]	IN [Jurkat]	MA [HEK]	MA [Jurkat]	NC [HEK]	NC [Jurkat]	NCC [Jurkat]	NEF [HEK]	NEF [Jurkat]	P6 [HEK]	P6 [Jurkat]	POL [HEK]	POL [Jurkat]	PR [HEK]	PR [Jurkat]	Pol [HEK]	REV [HEK]	REV [Jurkat]	RT [HEK]	RT [Jurkat]	TAT [HEK]	TAT [Jurkat]	VIF [HEK]	VIF [Jurkat]	VPR [HEK]	VPR [Jurkat]	VPU [HEK]	VPU [Jurkat]	p6 [HEK]
IN [HEK]	0.0270877352921	-0.344176017653	-0.35132715102	-0.343452423641	-0.426374064532	-0.467774738485	-0.514306075915	-0.454004000578	-0.472817853788	-0.397910090418	-1.17132867133	-0.311302255561	-0.336907127472	-0.381597830204	-0.196709365401	-0.266266230766	-0.246201878939	-0.737279009935	-0.488236890033	-0.0343721934631	-0.397474196184	-0.627652205887	-0.452203130708	-0.527307625196	-0.388810568837	-0.594682722731	-0.316263095826	-0.34977949547	-0.475041701122	-0.430321251175	-0.383245347378	-0.335865816899	-0.729754756587	-0.46709006118	-0.569220723958	-0.524555233796	-0.646411601219	-0.508430928225	-0.0119679783789
IN [Jurkat]	-0.118262935418	-0.691932202578	-0.378679277597	-0.712821235661	-0.409289909969	-0.573789144559	-0.404685022677	-0.484892271286	-0.348767441271	-0.422222270124	-0.311302255561	-1.22569444444	-0.391160025507	-0.647416904206	-0.24868148874	-0.722712986234	-0.533040955542	-0.304545302815	-0.674883474077	-0.256960055377	-0.730310059824	-0.381509873819	-0.492299437585	-0.432546041921	-0.508735733009	-0.525207389348	-0.21035902326	-0.676860825466	-0.423027497938	-0.710612840097	-0.203069024319	-0.682977555182	-0.40340259708	-0.64368080133	-0.453433641975	-0.557033403746	-0.418029539905	-0.482971753944	-0.167534722222
MA [HEK]	-0.389956957919	-0.427412349646	-0.480005585164	-0.462376884285	-0.448832196173	-0.420424074614	-0.461092054864	-0.251026799251	-0.475874159185	-0.270120363389	-0.336907127472	-0.391160025507	-1.21276595745	-0.557405792675	-0.412696394732	-0.526012194848	-0.442383217848	-0.3044529514	-0.434433649524	-0.528957471679	-0.509199892534	-0.469178963126	-0.313914676194	-0.500409165303	-0.323322176071	-0.560977037359	-0.366830141819	-0.551162553524	-0.641892447915	-0.39106492662	-0.315303267401	-0.578586919326	-0.473932485292	-0.451956704903	-0.482444055328	-0.366271880847	-0.509252139949	-0.338726840486	-0.431531788247
MA [Jurkat]	-0.166631374022	-0.798213465183	-0.421996797376	-0.706781008621	-0.412011688961	-0.552853634066	-0.434381082243	-0.488190632942	-0.433315522183	-0.576718837282	-0.381597830204	-0.647416904206	-0.557405792675	-1.19710144928	-0.27644546148	-0.682013319777	-0.635220822425	-0.324211468254	-0.667532739997	-0.319722646746	-0.841504210028	-0.361300915623	-0.475904765125	-0.429636920115	-0.497241607116	-0.494485658893	-0.258710764787	-0.686996129352	-0.512470780739	-0.709242864742	-0.228141495857	-0.667034339973	-0.448076199163	-0.662062152213	-0.446157107616	-0.586097895969	-0.452987609409	-0.627233720888	-0.176534001282
NC [HEK]	0.0546350771188	-0.262179172046	-0.823521832652	-0.384341385508	-0.10052742616	-0.316557874414	-0.185155117244	-0.171826361676	-0.136016224718	-0.162471910112	-0.196709365401	-0.24868148874	-0.412696394732	-0.27644546148	-1.2	-0.377788217392	-0.600932835821	-0.206016709338	-0.281803179493	-0.115151515152	-0.313244922775	-0.312655625357	-0.196305638218	-0.336880779984	-0.166157886369	-0.259414398041	-0.843811533052	-0.467887400108	-0.433320300282	-0.224475153887	-0.788263619669	-0.428808954284	-0.385561401216	-0.311617988875	-0.253000863558	-0.282897806594	-0.302332535885	-0.200980659129	-0.0340748335711
NC [Jurkat]	-0.200878347856	-0.636930220194	-0.472641491376	-0.723497951698	-0.434256413587	-0.560423827673	-0.424685685854	-0.423653559668	-0.420000920819	-0.404198899174	-0.266266230766	-0.722712986234	-0.526012194848	-0.682013319777	-0.377788217392	-1.20866141732	-0.670138976614	-0.222366575205	-0.598375346052	-0.417102058524	-0.75018169411	-0.357226836185	-0.421603256325	-0.399930538195	-0.42866121565	-0.515712027656	-0.328218870066	-0.736445222099	-0.497749553901	-0.627885793543	-0.2710675485	-0.771967872222	-0.382427611758	-0.643734838289	-0.394735160344	-0.527409958714	-0.399664085659	-0.427636743564	-0.203765232471
NCC [Jurkat]	-0.0238931897363	-0.624262967411	-0.673223311573	-0.613806720085	-0.24243112568	-0.49213336933	-0.277043765122	-0.39352469054	-0.255597014925	-0.432206133731	-0.246201878939	-0.533040955542	-0.442383217848	-0.635220822425	-0.600932835821	-0.670138976614	-1.19402985075	-0.219344119619	-0.529177219171	-0.173840697004	-0.652305585741	-0.273593664492	-0.393975007761	-0.352527060297	-0.344870153255	-0.38809381628	-0.555112172711	-0.68479716831	-0.42524325133	-0.50825612088	-0.488010943102	-0.611253799961	-0.377380493395	-0.565296430316	-0.313243260722	-0.469631313701	-0.349875254129	-0.447081359997	-0.0341911391091
NEF [HEK]	0.0312169235243	-0.301212286972	-0.303602599037	-0.281651426212	-0.367986873396	-0.388681782753	-0.464525714782	-0.490512957087	-0.428390865295	-0.376335958248	-0.737279009935	-0.304545302815	-0.3044529514	-0.324211468254	-0.206016709338	-0.222366575205	-0.219344119619	-1.24861878453	-0.459103091274	-0.0389763244568	-0.334791388491	-0.589282102999	-0.369271894034	-0.523523455596	-0.369544532811	-0.47887790632	-0.318058503345	-0.296550599643	-0.466510211352	-0.32971350513	-0.388142349568	-0.277989426732	-0.658129533628	-0.40168379052	-0.548503683241	-0.494818295263	-0.612640033705	-0.473749364949	0.000128205543883
NEF [Jurkat]	-0.0948320178707	-0.735009276291	-0.446578402784	-0.729837560219	-0.475990433071	-0.643937563079	-0.456108296986	-0.609583007187	-0.453788764217	-0.544774708818	-0.488236890033	-0.674883474077	-0.434433649524	-0.667532739997	-0.281803179493	-0.598375346052	-0.529177219171	-0.459103091274	-1.18867924528	-0.196273052014	-0.77940876698	-0.44995384006	-0.552185230842	-0.504394814087	-0.556059342368	-0.561188247292	-0.314794025911	-0.664531814351	-0.50161893753	-0.727086974456	-0.318241404317	-0.683698189241	-0.558753221091	-0.792519248649	-0.515598126043	-0.740299780411	-0.515656962709	-0.616120691283	-0.103554366231
P6 [HEK]	-0.447473498492	-0.176217111689	-0.164454254177	-0.289457816319	-0.300403384494	-0.164278754638	-0.314562551607	-0.0239159226083	-0.260878717906	-0.0178957923657	-0.0343721934631	-0.256960055377	-0.528957471679	-0.319722646746	-0.115151515152	-0.417102058524	-0.173840697004	-0.0389763244568	-0.196273052014	-1.21487603306	-0.309923706586	-0.297194534521	-0.121773469778	-0.251130063022	-0.124321584492	-0.311257849391	-0.0597139964647	-0.334978123481	-0.383233784289	-0.152519647508	0.0285905034461	-0.380488084529	-0.188565222656	-0.226912522532	-0.31144875804	-0.10767411743	-0.23843177767	-0.0765907601071	-0.635351803011
