	CA [Jurkat]	GAG [Jurkat]	GP120 [Jurkat]	GP160 [Jurkat]	GP41 [Jurkat]	HA [Flu]	IN [Jurkat]	M2 [Flu]	MA [Jurkat]	NA [Flu]	NC [Jurkat]	NCC [Jurkat]	NEF [Jurkat]	NEP [Flu]	NS1 [Flu]	P6 [Jurkat]	PA [Flu]	PB1 [Flu]	PB2 [Flu]	POL [Jurkat]	PR [Jurkat]	REV [Jurkat]	RT [Jurkat]	TAT [Jurkat]	VIF [Jurkat]	VPR [Jurkat]	VPU [Jurkat]
NEF [Jurkat]	0.624095714329	0.638175496971	0.546598164009	0.512823799698	0.458302532816	0.0400921429639	0.567759113114	0.115172975174	0.561575162221	0.0426744522924	0.503395132394	0.445180835177	1.0	-0.0352252434562	0.0489217680059	0.655693089683	-0.0398080174483	-0.0254969731759	-0.0389342928094	0.482688233826	0.467795954692	0.559050573979	0.611676343592	0.575174667141	0.709508339208	0.625016455828	0.521028108707
NEP [Flu]	-0.0496256111202	-0.0202544929585	-0.0275181131885	-0.124987697107	-0.122714565403	0.00453390986755	0.0154038429493	0.0199367850692	-0.062067393218	-0.0134317708086	0.0104458428689	-0.0163703091078	-0.0352252434562	1.0	0.363912608375	-0.000208522550988	0.580971918417	0.55645946322	0.45285688337	-0.0324743661483	-0.0733601743744	0.011772192173	-0.0591397849462	0.0307628889281	-0.043416678711	-0.0802635935791	-0.108183876086
NS1 [Flu]	0.0168602138835	0.0565351832425	0.0331959046256	0.0184605673136	-0.0523402071604	0.245958824202	0.0413672620877	0.221239850543	-0.00394889486392	0.213207586998	0.027164547912	0.0141969733718	0.0489217680059	0.363912608375	1.0	0.0280349575902	0.25328458551	0.344979695172	0.438721226109	0.054240063177	-0.000825966804302	0.0659921635747	-0.0324359359925	0.076758499477	0.0484630424658	0.0624759970162	-0.0150132793053
P6 [Jurkat]	0.726779040891	0.689240976258	0.557588342212	0.420171904432	0.421580703105	-0.016397176384	0.600439679671	0.0528928173858	0.702951458737	-0.0186089718262	0.620671499363	0.546305928056	0.655693089683	-0.000208522550988	0.0280349575902	1.0	-0.00840027828621	-0.0105241745319	-0.0377180514669	0.436999952689	0.43614403358	0.634582296505	0.64491280481	0.614482069263	0.674835341414	0.562047952586	0.483110625057
PA [Flu]	-0.0563706241803	-0.0267879142202	-0.0398977586675	-0.135888091399	-0.126553852442	-0.0260144970241	0.016980971775	0.0112245117846	-0.076819727743	-0.0314940892084	0.00773116947268	0.00314579220588	-0.0398080174483	0.580971918417	0.25328458551	-0.00840027828621	1.0	0.524333881171	0.489938853424	-0.00434880124837	-0.0519107230858	0.0428070336052	-0.0426028693694	0.0324295757705	-0.00560620260716	-0.0743479003093	-0.102118112864
PB1 [Flu]	-0.0629741085624	-0.0456960242984	-0.0127639334152	-0.0560140375975	-0.119014010361	0.0604808649881	0.00707638535759	0.0907207207211	-0.0727123130648	0.0114321133606	-0.0199642162751	-0.00150297619047	-0.0254969731759	0.55645946322	0.344979695172	-0.0105241745319	0.524333881171	1.0	0.553055379129	0.0214649117517	-0.0482613506596	0.00864856689767	-0.0640552995392	0.038983731673	0.00151955182376	-0.0205951082723	-0.0830520206074
PB2 [Flu]	-0.0788160483556	-0.0692218513135	-0.0369699967727	-0.0650464864354	-0.121985706284	0.0739758629574	-0.0174392095615	0.149353261988	-0.0963902161838	0.0808249851621	-0.0386248427223	-0.030782552176	-0.0389342928094	0.45285688337	0.438721226109	-0.0377180514669	0.489938853424	0.553055379129	1.0	0.00730163200089	-0.0688024937395	-0.0124492130595	-0.0955787399219	-0.0193510930962	-0.00316859267635	-0.036646586186	-0.0945825144879
POL [Jurkat]	0.400889468214	0.393538997706	0.433920949034	0.454561051838	0.386672600122	0.084122373594	0.430339554137	0.149412032997	0.416008284389	0.116488480296	0.368541061594	0.344390052551	0.482688233826	-0.0324743661483	0.054240063177	0.436999952689	-0.00434880124837	0.0214649117517	0.00730163200089	1.0	0.55138414013	0.37605008025	0.444636985353	0.405239084242	0.48886156355	0.449262053506	0.426698501385
PR [Jurkat]	0.389494191243	0.398192299805	0.388908655067	0.370413360743	0.341714162242	0.0165612377737	0.42546732828	0.121056707284	0.415854527926	0.0621203542661	0.358499178112	0.28882875335	0.467795954692	-0.0733601743744	-0.000825966804302	0.43614403358	-0.0519107230858	-0.0482613506596	-0.0688024937395	0.55138414013	1.0	0.354902720801	0.475626905349	0.356663679199	0.461879416635	0.410297115367	0.399792540175
REV [Jurkat]	0.547261016562	0.668289522702	0.477437982556	0.365785108069	0.327920085331	-0.0714280329861	0.563799440365	0.0241087045932	0.573882965195	-0.0224769901823	0.613430986781	0.573517628458	0.559050573979	0.011772192173	0.0659921635747	0.634582296505	0.0428070336052	0.00864856689767	-0.0124492130595	0.37605008025	0.354902720801	1.0	0.552796049791	0.668854187278	0.621699864546	0.50040789399	0.433513000252
RT [Jurkat]	0.588099078403	0.630431401736	0.489574030578	0.423238012033	0.434585835158	0.00533484051246	0.584536368467	0.0441544564776	0.592466799843	0.0111378996691	0.519488571858	0.425664501236	0.611676343592	-0.0591397849462	-0.0324359359925	0.64491280481	-0.0426028693694	-0.0640552995392	-0.0955787399219	0.444636985353	0.475626905349	0.552796049791	1.0	0.524423906463	0.59986308094	0.539093871253	0.520806749578
TAT [Jurkat]	0.533659827757	0.653055320534	0.496635452383	0.354598086458	0.327289454788	-0.06345620767	0.574200451092	-0.000605424006882	0.560796494703	-0.0339795594372	0.649017375601	0.513900061586	0.575174667141	0.0307628889281	0.076758499477	0.614482069263	0.0324295757705	0.038983731673	-0.0193510930962	0.405239084242	0.356663679199	0.668854187278	0.524423906463	1.0	0.621187041816	0.491683106538	0.399600892206
VIF [Jurkat]	0.643190751918	0.666670830108	0.610360376377	0.50803906263	0.411251701636	0.0338709073788	0.576259689731	0.131984970553	0.592715721252	0.0321908767379	0.576308066692	0.506085539396	0.709508339208	-0.043416678711	0.0484630424658	0.674835341414	-0.00560620260716	0.00151955182376	-0.00316859267635	0.48886156355	0.461879416635	0.621699864546	0.59986308094	0.621187041816	1.0	0.693804057701	0.48887869888
VPR [Jurkat]	0.52261391503	0.551241746207	0.535027779983	0.548475997905	0.434206600008	0.0521468179719	0.470289270643	0.15418369271	0.494827689268	0.111661820699	0.445278942242	0.39649788775	0.625016455828	-0.0802635935791	0.0624759970162	0.562047952586	-0.0743479003093	-0.0205951082723	-0.036646586186	0.449262053506	0.410297115367	0.50040789399	0.539093871253	0.491683106538	0.693804057701	1.0	0.536059992827
VPU [Jurkat]	0.500849138429	0.429825619963	0.430410830209	0.464610409168	0.527364367631	0.0760649345756	0.408429489671	0.126022959794	0.530425944032	0.157563704324	0.361634931054	0.37807844913	0.521028108707	-0.108183876086	-0.0150132793053	0.483110625057	-0.102118112864	-0.0830520206074	-0.0945825144879	0.426698501385	0.399792540175	0.433513000252	0.520806749578	0.399600892206	0.48887869888	0.536059992827	1.0
