	CA [Jurkat]	GAG [Jurkat]	GP120 [Jurkat]	GP160 [Jurkat]	GP41 [Jurkat]	HA [Flu]	IN [Jurkat]	M2 [Flu]	MA [Jurkat]	NA [Flu]	NC [Jurkat]	NCC [Jurkat]	NEF [Jurkat]	NEP [Flu]	NS1 [Flu]	P6 [Jurkat]	PA [Flu]	PB1 [Flu]	PB2 [Flu]	POL [Jurkat]	PR [Jurkat]	REV [Jurkat]	RT [Jurkat]	TAT [Jurkat]	VIF [Jurkat]	VPR [Jurkat]	VPU [Jurkat]
NEF [Jurkat]	-0.735009276291	-0.729837560219	-0.643937563079	-0.609583007187	-0.544774708818	-0.04765669824	-0.674883474077	-0.136903725206	-0.667532739997	-0.0507262357437	-0.598375346052	-0.529177219171	-1.18867924528	0.0418715158063	-0.058152290271	-0.77940876698	0.0473189641365	0.0303077228317	0.0462803857922	-0.552185230842	-0.556059342368	-0.664531814351	-0.727086974456	-0.683698189241	-0.792519248649	-0.740299780411	-0.616120691283
NEP [Flu]	0.0584450168099	0.0231636748739	0.0324185990987	0.153851381396	0.15277273985	-0.00586741276977	-0.018880404726	-0.0258005453837	0.0743009663743	0.0173822916347	-0.012625487247	0.0195466377407	0.0418715158063	-1.29411764706	-0.470945728486	0.000253624338701	-0.748675152597	-0.71544788128	-0.560369668629	0.0371499947822	0.0877175275359	-0.0141329258976	0.0718954248366	-0.0365906411785	0.0484963342774	0.095068090044	0.127928461835
NS1 [Flu]	-0.0198565914171	-0.0646554128137	-0.0391075040794	-0.0227237067992	0.0651606174534	-0.339836238019	-0.0507036233226	-0.30531099375	0.00472722776465	-0.294584528599	-0.0328327409802	-0.0169516099962	-0.058152290271	-0.470945728486	-1.38167938931	-0.0340986984172	-0.326397661739	-0.443545322362	-0.542878063961	-0.0620494963568	0.000987617144014	-0.0792258862168	0.039431922187	-0.0912997058997	-0.0541331114517	-0.0739995986358	0.0177533454903
P6 [Jurkat]	-0.855941363807	-0.788237647642	-0.656884896304	-0.511051782637	-0.512765293383	0.0199437566693	-0.730310059824	-0.0643331177754	-0.841504210028	0.0226339460695	-0.75018169411	-0.652305585741	-0.77940876698	0.000253624338701	-0.0340986984172	-1.21629213483	0.0102171924099	0.0128004707087	0.0458761693403	-0.499918794044	-0.521501981169	-0.761838104629	-0.784011645063	-0.73089016313	-0.753789586654	-0.665716833534	-0.571282906435
PA [Flu]	0.0663887457189	0.0306355008154	0.0470028389781	0.16726902776	0.157552436523	0.0335238363711	-0.0208134827658	-0.0144645770419	0.0919610074144	0.0405851665055	-0.00934436625239	-0.00375616979808	0.0473189641365	-0.748675152597	-0.326397661739	0.0102171924099	-1.28865979381	-0.674143561503	-0.606255271861	0.00497493755376	0.0620701943597	-0.0513913317881	0.0517917235471	-0.0385730668327	0.00626211593645	0.0880612562434	0.120755639166
PB1 [Flu]	0.0741657936384	0.052259409902	0.0150369626535	0.0689494827207	0.148165756719	-0.0777611121273	-0.00867348621951	-0.116640926641	0.0870440153504	-0.0146984314636	0.0241299779388	0.00179459843639	0.0303077228317	-0.71544788128	-0.443545322362	0.0128004707087	-0.674143561503	-1.28571428571	-0.684356296475	-0.024555409517	0.0577066015928	-0.0103829051793	0.0778711484594	-0.0463688485428	-0.00169733603271	0.024393844337	0.0982098038359
PB2 [Flu]	0.0928231444824	0.0791642852417	0.0435536948281	0.0800678148707	0.150946341588	-0.091538477904	0.0213751422749	-0.184811230661	0.11538886749	-0.100013650704	0.0466843571485	0.0367552861804	0.0462803857922	-0.560369668629	-0.542878063961	0.0458761693403	-0.606255271861	-0.684356296475	-1.23741007194	-0.00835291409525	0.0822678611467	0.0149457130046	0.116193762258	0.0230169834033	0.00353931102478	0.0434059926796	0.111844722455
POL [Jurkat]	-0.458609156045	-0.45006356919	-0.496396478345	-0.520008323699	-0.442345356683	-0.0962342336663	-0.492299437585	-0.1709242367	-0.475904765125	-0.133260381909	-0.421603256325	-0.393975007761	-0.552185230842	0.0371499947822	-0.0620494963568	-0.499918794044	0.00497493755376	-0.024555409517	-0.00835291409525	-1.14397905759	-0.630771908996	-0.430193416411	-0.508655399474	-0.46358502569	-0.546057287319	-0.513946380581	-0.488134149489
PR [Jurkat]	-0.458714644328	-0.455385231754	-0.458166360764	-0.442907128394	-0.408591196674	-0.0198024451663	-0.508735733009	-0.144748770639	-0.497241607116	-0.0742779571115	-0.42866121565	-0.344870153255	-0.556059342368	0.0877175275359	0.000987617144014	-0.521501981169	0.0620701943597	0.0577066015928	0.0822678611467	-0.630771908996	-1.19571045576	-0.42436089404	-0.568712063767	-0.424230401035	-0.515918288778	-0.485975787641	-0.472758479065
REV [Jurkat]	-0.644519605712	-0.764276906719	-0.562461184929	-0.439137736693	-0.393679460732	0.0857518363925	-0.676860825466	-0.0289433378673	-0.686996129352	0.0269844079996	-0.736445222099	-0.68479716831	-0.664531814351	-0.0141329258976	-0.0792258862168	-0.761838104629	-0.0513913317881	-0.0103829051793	0.0149457130046	-0.430193416411	-0.42436089404	-1.20053475936	-0.663650872611	-0.795562589217	-0.694437376289	-0.592707360874	-0.512633243642
RT [Jurkat]	-0.69261536024	-0.720981169462	-0.576758446982	-0.514524642079	-0.528320034898	-0.0064854923877	-0.710612840097	-0.0536779666983	-0.709242864742	-0.0135401917546	-0.627885793543	-0.50825612088	-0.727086974456	0.0718954248366	0.039431922187	-0.784011645063	0.0517917235471	0.0778711484594	0.116193762258	-0.508655399474	-0.568712063767	-0.663650872611	-1.21568627451	-0.62377129247	-0.670045737206	-0.638528907181	-0.615858932009
TAT [Jurkat]	-0.628501229506	-0.746854594212	-0.585077382259	-0.421773500353	-0.38929149436	0.0754774147132	-0.682977555182	0.00072011613241	-0.667034339973	0.0404166809455	-0.771967872222	-0.611253799961	-0.683698189241	-0.0365906411785	-0.0912997058997	-0.73089016313	-0.0385730668327	-0.0463688485428	0.0230169834033	-0.46358502569	-0.424230401035	-0.795562589217	-0.62377129247	-1.18944099379	-0.693864554432	-0.582373299788	-0.47253185352
VIF [Jurkat]	-0.718442650042	-0.744669845548	-0.681771193036	-0.567478511456	-0.459367242885	-0.0378337287718	-0.64368080133	-0.14742692075	-0.662062152213	-0.0359571382546	-0.643734838289	-0.565296430316	-0.792519248649	0.0484963342774	-0.0541331114517	-0.753789586654	0.00626211593645	-0.00169733603271	0.00353931102478	-0.546057287319	-0.515918288778	-0.694437376289	-0.670045737206	-0.693864554432	-1.11699779249	-0.774977600873	-0.546076427444
VPR [Jurkat]	-0.615492250061	-0.630417389969	-0.630306699706	-0.649641552672	-0.514295339974	-0.0617652183935	-0.557033403746	-0.182622637839	-0.586097895969	-0.132257671895	-0.527409958714	-0.469631313701	-0.740299780411	0.095068090044	-0.0739995986358	-0.665716833534	0.0880612562434	0.024393844337	0.0434059926796	-0.513946380581	-0.485975787641	-0.592707360874	-0.638528907181	-0.582373299788	-0.774977600873	-1.18444846293	-0.633896037143
VPU [Jurkat]	-0.589859462764	-0.491562091121	-0.507059334219	-0.549406225288	-0.623613377691	-0.0899475081861	-0.482971753944	-0.149023347893	-0.627233720888	-0.186320578116	-0.427636743564	-0.447081359997	-0.616120691283	0.127928461835	0.0177533454903	-0.571282906435	0.120755639166	0.0982098038359	0.111844722455	-0.488134149489	-0.472758479065	-0.512633243642	-0.615858932009	-0.47253185352	-0.546076427444	-0.633896037143	-1.1825095057
