	CA [HEK]	GAG [HEK]	GP120 [HEK]	GP160 [HEK]	GP41 [HEK]	HA [Flu]	IN [HEK]	M2 [Flu]	MA [HEK]	NA [Flu]	NC [HEK]	NEF [HEK]	NEP [Flu]	NS1 [Flu]	P6 [HEK]	PA [Flu]	PB1 [Flu]	PB2 [Flu]	POL [HEK]	PR [HEK]	Pol [HEK]	REV [HEK]	RT [HEK]	TAT [HEK]	VIF [HEK]	VPR [HEK]	VPU [HEK]	p6 [HEK]
NS1 [Flu]	-0.0719948896576	0.0540674133383	-0.021229944502	0.0209185423735	-0.0448687566722	0.245958824202	0.0113940142598	0.221239850543	0.0753744238976	0.213207586998	0.0702649629384	0.0325706895166	0.363912608375	1.0	-0.0223225361876	0.25328458551	0.344979695172	0.438721226109	0.0763605964526	0.0558800907199	0.0769435161407	0.0256155542734	0.12045715173	0.0267944391242	0.080759523761	-0.0208417095918	0.0192231852388	-0.0171073536015
P6 [HEK]	0.368328525969	0.138475903585	0.247270813086	0.258925637717	0.214736903854	-0.191480587307	0.0293446188968	-0.183402420158	0.436157915243	-0.184374583601	0.09595959596	0.0320825527841	-0.0599710736311	-0.0223225361876	1.0	-0.0948282462515	-0.0499873740272	-0.111447921725	0.254652574942	0.210625214147	0.270026290121	0.0498142103558	0.329509422006	-0.0243292803747	0.16722373234	0.256362583148	0.196260170735	0.522976654178
PA [Flu]	-0.152147641832	0.0202478351472	-0.0754958062071	-0.0549772498825	-0.0817183806997	-0.0260144970241	-0.0946044820965	0.0112245117846	0.00874639881532	-0.0314940892084	0.0433518371663	-0.128981089203	0.580971918417	0.25328458551	-0.0948282462515	1.0	0.524333881171	0.489938853424	0.0031886804353	-0.0105791501246	-0.00581332461878	-0.0205409967751	0.0203785145149	-0.051081397127	-0.0341388095395	-0.0261053002393	-0.0253422744545	-0.104386226252
PB1 [Flu]	-0.167251461989	0.0356080151176	-0.00552613992699	0.0344913520604	-0.0855805138894	0.0604808649881	-0.065261836713	0.0907207207211	0.02868013407	0.0114321133606	0.0601045296167	-0.0940630166294	0.55645946322	0.344979695172	-0.0499873740272	0.524333881171	1.0	0.553055379129	0.0481001106651	0.0218338100094	0.0304072495262	0.0231130099579	0.0401826520524	-0.00751624209081	0.027297974443	0.0017856423227	-0.00163507549139	-0.0935402514965
PB2 [Flu]	-0.177283428671	0.00985864190335	-0.0445396622608	0.0120889617582	-0.0936094430001	0.0739758629574	-0.0452602210693	0.149353261988	0.0269540587057	0.0808249851621	0.0400050927	-0.0666705161977	0.45285688337	0.438721226109	-0.111447921725	0.489938853424	0.553055379129	1.0	0.0274379329755	-0.0132378765107	0.0371585568369	-0.00755281484937	0.0364868974146	-0.0181792227408	0.0383778464424	-0.0377542390984	-0.0384567486225	-0.145347419801
POL [HEK]	0.0422871946967	0.330732460891	0.404472009971	0.473248512619	0.359536871961	0.065208480072	0.537806829641	0.139778225807	0.402018264775	0.194508592943	0.267900485437	0.504929221319	-0.025169094693	0.0763605964526	0.254652574942	0.0031886804353	0.0481001106651	0.0274379329755	1.0	0.523511036292	0.552462081202	0.310907378013	0.4901644763	0.331184832761	0.608252507867	0.501256611554	0.502855958182	0.078108291637
PR [HEK]	0.074212951734	0.367540839992	0.38589090268	0.386427317919	0.372047110171	-0.00614996164187	0.450179047182	0.086822484064	0.419698009608	0.0670426214503	0.282545170309	0.439084188564	-0.0240853557042	0.0558800907199	0.210625214147	-0.0105791501246	0.0218338100094	-0.0132378765107	0.523511036292	1.0	0.505533369373	0.339714946819	0.64731422081	0.347890557095	0.550377181629	0.469895711879	0.426927105152	0.162155399222
Pol [HEK]	0.195330164518	0.332658324963	0.505352289344	0.502462128683	0.474732638313	0.101888950202	0.515906569849	0.13521396955	0.486665793448	0.113667933957	0.225050412846	0.415442131716	-0.0330198134299	0.0769435161407	0.270026290121	-0.00581332461878	0.0304072495262	0.0371585568369	0.552462081202	0.505533369373	1.0	0.241197936259	0.489159873942	0.256995034717	0.561833456144	0.509552440834	0.524513345475	0.186044875666
REV [HEK]	-0.0843588261499	0.65349017986	0.131790833926	0.17393663828	0.136336497994	-0.173187394713	0.27000371763	-0.0510021012659	0.306014585043	-0.0164875413861	0.703918807929	0.265328635313	-0.0170098022967	0.0256155542734	0.0498142103558	-0.0205409967751	0.0231130099579	-0.00755281484937	0.310907378013	0.339714946819	0.241197936259	1.0	0.383084560879	0.771726027406	0.402824566902	0.26161196175	0.323677642314	-0.0173719203965
RT [HEK]	0.155116460751	0.414898939144	0.414867950772	0.422071782306	0.43086103603	0.00560154033972	0.408447070124	0.0487797814928	0.551907525311	0.0853944568092	0.372574463794	0.401111583593	0.0282327208076	0.12045715173	0.329509422006	0.0203785145149	0.0401826520524	0.0364868974146	0.4901644763	0.64731422081	0.489159873942	0.383084560879	1.0	0.366889871555	0.546876791201	0.466186574489	0.457889906332	0.245360672468
TAT [HEK]	-0.100853482841	0.608962923712	0.114285630064	0.183554082517	0.129953770276	-0.144018920577	0.327188565224	-0.0105333024955	0.268309426943	0.0193487213316	0.670778206065	0.330292331708	-0.0420560858741	0.0267944391242	-0.0243292803747	-0.051081397127	-0.00751624209081	-0.0181792227408	0.331184832761	0.347890557095	0.256995034717	0.771726027406	0.366889871555	1.0	0.430483837419	0.271859120584	0.329354089741	-0.0552140142619
VIF [HEK]	0.0383718659981	0.453560846856	0.429810961514	0.477603250047	0.421040093002	0.103594511284	0.647162357781	0.169946097924	0.420293614864	0.208017237635	0.341924219374	0.583643555405	-0.0406222388204	0.080759523761	0.16722373234	-0.0341388095395	0.027297974443	0.0383778464424	0.608252507867	0.550377181629	0.561833456144	0.402824566902	0.546876791201	0.430483837419	1.0	0.569921871975	0.616841582192	0.077526149252
VPR [HEK]	0.119249180649	0.316426017891	0.50210224558	0.504383905068	0.490622456118	0.0394153262894	0.485961573289	0.121665089877	0.397804747375	0.0871853452937	0.210834052965	0.439288348083	-0.0316226430368	-0.0208417095918	0.256362583148	-0.0261053002393	0.0017856423227	-0.0377542390984	0.501256611554	0.469895711879	0.509552440834	0.26161196175	0.466186574489	0.271859120584	0.569921871975	1.0	0.508585851703	0.142950505403
VPU [HEK]	0.0603570613595	0.354879917179	0.43152173913	0.459483987349	0.44031647818	0.0647863608644	0.551861844622	0.107536429873	0.419909659255	0.195217108657	0.251943779904	0.491004762895	-0.0342468082346	0.0192231852388	0.196260170735	-0.0253422744545	-0.00163507549139	-0.0384567486225	0.502855958182	0.426927105152	0.524513345475	0.323677642314	0.457889906332	0.329354089741	0.616841582192	0.508585851703	1.0	0.0838827266218
p6 [HEK]	0.484622535234	0.0662102583959	0.180305383022	0.153675366225	0.162849956937	-0.176533380797	0.0102174382578	-0.17281204869	0.355824456975	-0.1382691858	0.0283956946426	-0.00010267789134	-0.100644226354	-0.0171073536015	0.522976654178	-0.104386226252	-0.0935402514965	-0.145347419801	0.078108291637	0.162155399222	0.186044875666	-0.0173719203965	0.245360672468	-0.0552140142619	0.077526149252	0.142950505403	0.0838827266218	1.0
