	CA [HEK]	CA [Jurkat]	GAG [HEK]	GAG [Jurkat]	GP120 [HEK]	GP120 [Jurkat]	GP160 [HEK]	GP160 [Jurkat]	GP41 [HEK]	GP41 [Jurkat]	IN [HEK]	IN [Jurkat]	MA [HEK]	MA [Jurkat]	NC [HEK]	NC [Jurkat]	NCC [Jurkat]	NEF [HEK]	NEF [Jurkat]	P6 [HEK]	P6 [Jurkat]	POL [HEK]	POL [Jurkat]	PR [HEK]	PR [Jurkat]	Pol [HEK]	REV [HEK]	REV [Jurkat]	RT [HEK]	RT [Jurkat]	TAT [HEK]	TAT [Jurkat]	VIF [HEK]	VIF [Jurkat]	VPR [HEK]	VPR [Jurkat]	VPU [HEK]	VPU [Jurkat]	p6 [HEK]
IN [HEK]	-0.0231256486374	0.293833853877	0.299939000572	0.300317403611	0.364008902854	0.39935395584	0.439079217049	0.387597445269	0.403659421442	0.339708315998	1.0	0.265768492807	0.287628174498	0.325782028174	0.16793695076	0.227319826863	0.210190260825	0.629438199526	0.416823135968	0.0293446188968	0.339336179428	0.537806829641	0.395289693205	0.450179047182	0.331939769216	0.515906569849	0.27000371763	0.29861771852	0.408447070124	0.367378739809	0.327188565224	0.286739175024	0.647162357781	0.418165608133	0.485961573289	0.447829244375	0.551861844622	0.43406341932	0.0102174382578
IN [Jurkat]	0.0964864742224	0.587519009847	0.318860435668	0.623296293744	0.335566882707	0.487053576196	0.330167950514	0.395606159011	0.28454680761	0.344475959762	0.265768492807	1.0	0.322535459628	0.540820416344	0.20723457395	0.597944946267	0.446421800265	0.248467555839	0.567759113114	0.211511338099	0.600439679671	0.326898581397	0.430339554137	0.362780551288	0.42546732828	0.455634462447	0.175484296066	0.563799440365	0.363724577667	0.584536368467	0.172802946173	0.574200451092	0.357746179117	0.576259689731	0.369940195154	0.470289270643	0.34105526202	0.408429489671	0.136685552408
MA [HEK]	0.321543456529	0.362915441029	0.404180527067	0.404305853796	0.370089705615	0.356871598219	0.380198711904	0.206987009908	0.39238746459	0.222730825952	0.287628174498	0.322535459628	1.0	0.465629536252	0.343913662277	0.43520227196	0.370495944947	0.251040152908	0.365475927378	0.436157915243	0.419866578053	0.402018264775	0.274405964088	0.419698009608	0.270401730213	0.486665793448	0.306014585043	0.459097539015	0.551907525311	0.322457044756	0.268309426943	0.486436000059	0.420293614864	0.404617366249	0.397804747375	0.309234122303	0.419909659255	0.286447456746	0.355824456975
MA [Jurkat]	0.139195699848	0.677762334176	0.355335215372	0.618014673417	0.344174413295	0.469282735894	0.362860710347	0.407810577153	0.36197059359	0.481762709108	0.325782028174	0.540820416344	0.465629536252	1.0	0.230929017458	0.569720569787	0.531997438779	0.270830403262	0.561575162221	0.267080661324	0.702951458737	0.309582437782	0.416008284389	0.360340642676	0.415854527926	0.428982363818	0.216114319252	0.573882965195	0.440629082505	0.592466799843	0.194138533736	0.560796494703	0.397363699104	0.592715721252	0.372697825973	0.494827689268	0.378403693088	0.530425944032	0.14746787032
NC [HEK]	-0.0455292309323	0.222616098787	0.693432532162	0.336071021927	0.0837728551333	0.2687061027	0.154295931037	0.14318863473	0.113346853932	0.135393258427	0.16793695076	0.20723457395	0.343913662277	0.230929017458	1.0	0.314823514493	0.503281249999	0.171680591115	0.237072516082	0.09595959596	0.261037435646	0.267900485437	0.171598978946	0.282545170309	0.138961640394	0.225050412846	0.703918807929	0.389906166757	0.372574463794	0.187062628239	0.670778206065	0.360513011173	0.341924219374	0.278978160002	0.210834052965	0.238843491674	0.251943779904	0.169961136177	0.0283956946426
NC [Jurkat]	0.166199023959	0.540816876156	0.397979717325	0.632632095208	0.359287065314	0.475708597909	0.351368613053	0.350514671518	0.347492618529	0.334418633194	0.227319826863	0.597944946267	0.43520227196	0.569720569787	0.314823514493	1.0	0.561241392912	0.183977557336	0.503395132394	0.345094211288	0.620671499363	0.306091543102	0.368541061594	0.335425612679	0.358499178112	0.447396927888	0.273804548417	0.613430986781	0.427971579055	0.519488571858	0.230666745703	0.649017375601	0.339145106862	0.576308066692	0.326588699438	0.445278942242	0.330666702794	0.361634931054	0.168587521328
NCC [Jurkat]	0.0200105464041	0.53006112323	0.566876222517	0.536717250503	0.203036067756	0.417741115827	0.232024153289	0.329576928326	0.214062499999	0.361972636999	0.210190260825	0.446421800265	0.370495944947	0.531997438779	0.503281249999	0.561241392912	1.0	0.18370070018	0.445180835177	0.14559158374	0.546305928056	0.23443005526	0.344390052551	0.295667857023	0.28882875335	0.336683986071	0.464906444644	0.573517628458	0.365629711424	0.425664501236	0.415276180184	0.513900061586	0.334669212748	0.506085539396	0.262341230854	0.39649788775	0.293020525332	0.37807844913	0.0286350790038
NEF [HEK]	-0.0250011644155	0.255759081506	0.255643397265	0.246278142826	0.301703523529	0.329927559779	0.375833454203	0.398489011609	0.343091799197	0.30229151881	0.629438199526	0.248467555839	0.251040152908	0.270830403262	0.171680591115	0.183977557336	0.18370070018	1.0	0.386229584724	0.0320825527841	0.27525573742	0.504929221319	0.322796026364	0.439084188564	0.309058544258	0.415442131716	0.265328635313	0.247015421529	0.401111583593	0.271215947768	0.330292331708	0.233714348323	0.583643555405	0.35961019191	0.439288348083	0.417762621802	0.491004762895	0.400630491903	-0.00010267789134
NEF [Jurkat]	0.0797793166216	0.624095714329	0.376033737508	0.638175496971	0.400436396077	0.546598164009	0.383710154608	0.512823799698	0.381758801644	0.458302532816	0.416823135968	0.567759113114	0.365475927378	0.561575162221	0.237072516082	0.503395132394	0.445180835177	0.386229584724	1.0	0.165118599314	0.655693089683	0.385545125051	0.482688233826	0.424332145185	0.467795954692	0.486849024923	0.264826720212	0.559050573979	0.431298525727	0.611676343592	0.270809654228	0.575174667141	0.495514484441	0.709508339208	0.433757153656	0.625016455828	0.433806651169	0.521028108707	0.0871171652422
P6 [HEK]	0.368328525969	0.149625790781	0.138475903585	0.253104109531	0.247270813086	0.139445919635	0.258925637717	0.0196858954803	0.214736903854	0.0147305501785	0.0293446188968	0.211511338099	0.436157915243	0.267080661324	0.09595959596	0.345094211288	0.14559158374	0.0320825527841	0.165118599314	1.0	0.255107268686	0.254652574942	0.106447289371	0.210625214147	0.10397298434	0.270026290121	0.0498142103558	0.279024093946	0.329509422006	0.125543383323	-0.0243292803747	0.319888154617	0.16722373234	0.203145005351	0.256362583148	0.0909065449447	0.196260170735	0.0647696781615	0.522976654178
